Index,Country,Year,GDP,life_satisfaction,GHI,life_expectancy,unemployment,HDI,corruption,depression,obesity,suicide,fruit_consumption,veg_consumption,birth_rate,under_five_deaths
43,Lebanon,2016,13267.8856986827,5.27072382,7.1,78.8,6.5789999961853,0.753,28,3.70388664107,32.0,3.3,85.19,128.11,17.744,1.0924000000000005
44,Lesotho,2016,2736.3548946839,3.8082048889999998,22.7,52.059,27.7819995880127,0.516,39,5.635769826980001,16.6,21.2,15.76,25.24,27.501,8.939200000000003
45,Liberia,2016,753.557379048622,3.354676008,30.7,62.802,2.33800005912781,0.43200000000000005,37,3.7936588428099998,9.9,6.8,41.27,23.73,33.843,7.697700000000001
46,Madagascar,2016,1396.6696154848,3.663085938,35.4,65.931,1.7960000038147,0.517,26,3.70290995951,5.3,3.9,43.29,15.81,33.138000000000005,4.631399999999998
47,Malawi,2016,1083.80142082959,3.4764926430000003,26.9,62.681,5.8579998016357395,0.474,31,3.41723707803,5.8,3.7,109.82,37.45,35.163000000000004,5.971800000000001
48,Mali,2016,1971.0844795084802,4.016027927,28.1,57.987,7.8130002021789595,0.42100000000000004,32,2.9883187426099997,8.6,4.8,46.77,118.03,42.63800000000001,11.0391
49,Mauritania,2016,3572.28039224539,4.472149372,22.1,64.208,9.843000411987301,0.516,27,3.07508989297,12.7,4.4,11.56,33.49,34.569,8.2791
50,Mauritius,2016,19567.4896610354,5.610003471000001,13.2,74.626,7.300000190734861,0.7879999999999999,54,3.4868061475400003,10.8,7.8,39.4,66.76,10.395,1.3513000000000002
51,Mexico,2016,17206.6343224392,6.824172974,7.2,74.917,3.8800001144409197,0.772,30,2.77987488917,28.9,5.1,113.81,67.66,18.245,1.6092
52,Mongolia,2016,11361.0064180842,5.056999683,13.8,69.321,7.2399997711181605,0.743,38,3.5380202000599996,20.6,13.0,10.98,50.6,25.425,2.3751
53,Montenegro,2016,15737.0249188206,5.3040661810000005,5.0,76.568,17.7000007629395,0.81,45,2.5641829780700003,23.3,10.3,123.56,114.57,11.804,0.3381000000000001
54,Morocco,2016,7285.90832106945,5.38630724,9.3,75.97399999999998,9.39999961853027,0.662,37,5.47226722783,26.1,2.9,88.83,89.83,19.868,2.4943000000000004
55,Myanmar,2016,5305.04713749719,4.623119831,22.0,66.205,0.782999992370605,0.574,28,2.29075358064,5.8,7.8,46.86,84.29,17.861,5.0265
56,Nepal,2016,2297.65253885535,5.099539757,21.9,69.848,3.06200003623962,0.569,29,3.64055740904,4.1,8.8,60.79,135.55,20.515,3.5522
57,Nicaragua,2016,5130.58029479392,6.012739657999999,13.3,73.86,4.44700002670288,0.657,26,2.8536191507099997,23.7,12.2,39.51,32.97,21.468000000000004,2.0386
58,Niger,2016,917.140115923232,4.234645844,33.7,61.137,0.34499999880790694,0.35100000000000003,35,3.4573545708399998,5.5,4.6,26.09,105.33,47.017,9.0945
